labelIndex,modelLabel,scientificName,taxonClass
0,Acanthis cabaret,,Aves
1,Acanthis flammea,Acanthis flammea,Aves
2,Acanthis hornemanni,,Aves
3,Astur atricapillus,Astur atricapillus,Aves
4,Astur gentilis,Astur gentilis,Aves
5,Tachyspiza badia,Tachyspiza badia,Aves
6,Astur cooperii,Astur cooperii,Aves
7,Accipiter nisus,Accipiter nisus,Aves
8,Accipiter striatus,Accipiter striatus,Aves
9,Acheta domesticus,Acheta domesticus,Insecta
10,Acridotheres cristatellus,Acridotheres cristatellus,Aves
11,Acridotheres tristis,Acridotheres tristis,Aves
12,Acris crepitans,Acris crepitans,Amphibia
13,Acrocephalus agricola,Acrocephalus agricola,Aves
14,Acrocephalus arundinaceus,Acrocephalus arundinaceus,Aves
15,Acrocephalus baeticatus,,Aves
16,Acrocephalus dumetorum,Acrocephalus dumetorum,Aves
17,Acrocephalus melanopogon,Acrocephalus melanopogon,Aves
18,Acrocephalus paludicola,Acrocephalus paludicola,Aves
19,Acrocephalus palustris,Acrocephalus palustris,Aves
20,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Aves
21,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Aves
22,Acryllium vulturinum,Acryllium vulturinum,Aves
23,Actitis hypoleucos,Actitis hypoleucos,Aves
24,Actitis macularius,Actitis macularius,Aves
25,Aechmophorus clarkii,Aechmophorus clarkii,Aves
26,Aechmophorus occidentalis,Aechmophorus occidentalis,Aves
27,Aegithalos caudatus,Aegithalos caudatus,Aves
28,Aegolius acadicus,Aegolius acadicus,Aves
29,Aegolius funereus,Aegolius funereus,Aves
30,Agapornis fischeri,Agapornis fischeri,Aves
31,Agapornis personatus,Agapornis personatus,Aves
32,Agelaius phoeniceus,Agelaius phoeniceus,Aves
33,Aix galericulata,Aix galericulata,Aves
34,Aix sponsa,Aix sponsa,Aves
35,Alauda arvensis,Alauda arvensis,Aves
36,Alaudala rufescens,Alaudala rufescens,Aves
37,Alca torda,Alca torda,Aves
38,Alcedo atthis,Alcedo atthis,Aves
39,Alces alces,Alces alces,Mammalia
40,Alectoris barbara,Alectoris barbara,Aves
41,Alectoris chukar,Alectoris chukar,Aves
42,Alectoris graeca,Alectoris graeca,Aves
43,Alectoris rufa,Alectoris rufa,Aves
44,Alle alle,Alle alle,Aves
45,Allonemobius allardi,Allonemobius allardi,Insecta
46,Allonemobius fasciatus,Allonemobius fasciatus,Insecta
47,Allonemobius tinnulus,Allonemobius tinnulus,Insecta
48,Alopochen aegyptiaca,Alopochen aegyptiaca,Aves
49,Alytes obstetricans,Alytes obstetricans,Amphibia
50,Amandava amandava,Amandava amandava,Aves
51,Amazona aestiva,Amazona aestiva,Aves
52,Amazona oratrix,Amazona oratrix,Aves
53,Amblycorypha longinicta,Amblycorypha longinicta,Insecta
54,Amblycorypha oblongifolia,Amblycorypha oblongifolia,Insecta
55,Amblycorypha rotundifolia,Amblycorypha rotundifolia,Insecta
56,Ammodramus savannarum,Ammodramus savannarum,Aves
57,Ammomanes deserti,Ammomanes deserti,Aves
58,Ammospiza caudacuta,Ammospiza caudacuta,Aves
59,Ammospiza leconteii,Ammospiza leconteii,Aves
60,Ammospiza maritima,Ammospiza maritima,Aves
61,Ammospiza nelsoni,Ammospiza nelsoni,Aves
62,Anarhynchus alexandrinus,Anarhynchus alexandrinus,Aves
63,Anarhynchus leschenaultii,Anarhynchus leschenaultii,Aves
64,Anas acuta,Anas acuta,Aves
65,Anas bahamensis,Anas bahamensis,Aves
66,Anas carolinensis,Anas carolinensis,Aves
67,Spatula clypeata,Spatula clypeata,Aves
68,Anas crecca,Anas crecca,Aves
69,Spatula cyanoptera,Spatula cyanoptera,Aves
70,Anas fulvigula,Anas fulvigula,Aves
71,Mareca penelope,Mareca penelope,Aves
72,Anas platyrhynchos,Anas platyrhynchos,Aves
73,Spatula querquedula,Spatula querquedula,Aves
74,Anas rubripes,Anas rubripes,Aves
75,Mareca strepera,Mareca strepera,Aves
76,Anaxipha exigua,Anaxipha exigua,Insecta
77,Anaxipha vernalis,Anaxipha vernalis,Insecta
78,Anaxyrus americanus,Anaxyrus americanus,Amphibia
79,Anaxyrus fowleri,Anaxyrus fowleri,Amphibia
80,Anhinga anhinga,Anhinga anhinga,Aves
81,Anser albifrons,Anser albifrons,Aves
82,Anser anser,Anser anser,Aves
83,Anser brachyrhynchus,Anser brachyrhynchus,Aves
84,Anser caerulescens,Anser caerulescens,Aves
85,Anser cygnoides,Anser cygnoides,Aves
86,Anser erythropus,Anser erythropus,Aves
87,Anser fabalis,Anser fabalis,Aves
