labelIndex,modelLabel,scientificName,taxonClass
4368,Pezoporus wallicus,Pezoporus wallicus,Aves
4369,Phacellodomus dorsalis,Phacellodomus dorsalis,Aves
4370,Phacellodomus erythrophthalmus,Phacellodomus erythrophthalmus,Aves
4371,Phacellodomus ferrugineigula,Phacellodomus ferrugineigula,Aves
4372,Phacellodomus maculipectus,Phacellodomus maculipectus,Aves
4373,Phacellodomus ruber,Phacellodomus ruber,Aves
4374,Phacellodomus rufifrons,Phacellodomus rufifrons,Aves
4375,Phacellodomus sibilatrix,Phacellodomus sibilatrix,Aves
4376,Phacellodomus striaticeps,Phacellodomus striaticeps,Aves
4377,Phacellodomus striaticollis,Phacellodomus striaticollis,Aves
4378,Phaenicophaeus sumatranus,Phaenicophaeus sumatranus,Aves
4379,Phaenicophaeus tristis,Phaenicophaeus tristis,Aves
4380,Phaenicophaeus viridirostris,Phaenicophaeus viridirostris,Aves
4381,Phaenicophilus palmarum,Phaenicophilus palmarum,Aves
4382,Phaenostictus mcleannani,Phaenostictus mcleannani,Aves
4383,Phaeochroa cuvierii,Phaeochroa cuvierii,Aves
4384,Phaeomyias murina,Nesotriccus murinus,Aves
4385,Phaethon aethereus,Phaethon aethereus,Aves
4386,Phaethon lepturus,Phaethon lepturus,Aves
4387,Phaethon rubricauda,Phaethon rubricauda,Aves
4388,Phaethornis atrimentalis,Phaethornis atrimentalis,Aves
4389,Phaethornis bourcieri,Phaethornis bourcieri,Aves
4390,Phaethornis eurynome,Phaethornis eurynome,Aves
4391,Phaethornis griseogularis,Phaethornis griseogularis,Aves
4392,Phaethornis guy,Phaethornis guy,Aves
4393,Phaethornis hispidus,Phaethornis hispidus,Aves
4394,Phaethornis longirostris,Phaethornis longirostris,Aves
4395,Phaethornis longuemareus,Phaethornis longuemareus,Aves
4396,Phaethornis malaris,Phaethornis malaris,Aves
4397,Phaethornis nattereri,Phaethornis nattereri,Aves
4398,Phaethornis pretrei,Phaethornis pretrei,Aves
4399,Phaethornis ruber,Phaethornis ruber,Aves
4400,Phaethornis rupurumii,Phaethornis rupurumii,Aves
4401,Phaethornis squalidus,Phaethornis squalidus,Aves
4402,Phaethornis striigularis,Phaethornis striigularis,Aves
4403,Phaethornis superciliosus,Phaethornis superciliosus,Aves
4404,Phaethornis syrmatophorus,Phaethornis syrmatophorus,Aves
4405,Phaethornis yaruqui,Phaethornis yaruqui,Aves
4406,Phaetusa simplex,Phaetusa simplex,Aves
4407,Phainopepla nitens,Phainopepla nitens,Aves
4408,Phalacrocorax carbo,Phalacrocorax carbo,Aves
4409,Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,Aves
4410,Phalaropus fulicarius,Phalaropus fulicarius,Aves
4411,Phalaropus lobatus,Phalaropus lobatus,Aves
